"","FinalID","OriginalTraitValue","ConTemp","Kelvin","Tref","B0","T0","Th","E","Tm","Eh","Tpk"
"59","MTD3167",0.026963528,1,274.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"60","MTD3167",0.053939015,5,278.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"61","MTD3167",0.08651767,10,283.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"62","MTD3167",0.09315947,15,288.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"63","MTD3167",0.06274179,20,293.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"64","MTD3167",0.107345045,25,298.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"65","MTD3167",0.106591694,30,303.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"66","MTD3167",0.1956137,35,308.15,283.15,0.08651767,274.15,308.15,0.65,318.15,1.3,308.15
"67","MTD3170",0.06265704,1,274.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"68","MTD3170",0.109736905,5,278.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"69","MTD3170",0.06600323,10,283.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"70","MTD3170",0.11309242,15,288.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"71","MTD3170",0.10972447,20,293.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"72","MTD3170",0.08433885,25,298.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"73","MTD3170",0.15163888,30,303.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"74","MTD3170",0.10883194,35,308.15,283.15,0.06600323,274.15,298.15,0.65,308.15,1.3,303.15
"75","MTD3173",0.031938817,1,274.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"76","MTD3173",0.12960413,5,278.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"77","MTD3173",0.066717826,10,283.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"78","MTD3173",0.108591266,15,288.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"79","MTD3173",0.11761854,20,293.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"80","MTD3173",0.09254571,25,298.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"81","MTD3173",0.14185162,30,303.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"82","MTD3173",0.14777397,35,308.15,283.15,0.066717826,274.15,308.15,0.65,318.15,1.3,308.15
"83","MTD3176",0.04416633,1,274.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"84","MTD3176",0.055613946,5,278.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"85","MTD3176",0.10112199,10,283.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"86","MTD3176",0.12496355,15,288.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"87","MTD3176",0.18843557,20,293.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"88","MTD3176",0.13110138,25,298.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"89","MTD3176",0.17413715,30,303.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"90","MTD3176",0.31383738,35,308.15,283.15,0.10112199,274.15,308.15,0.65,318.15,1.3,308.15
"91","MTD3179",0.07529567,1,274.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"92","MTD3179",0.19908497,5,278.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"93","MTD3179",0.05628543,10,283.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"94","MTD3179",0.11432685,15,288.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"95","MTD3179",0.20131831,20,293.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"96","MTD3179",0.12908737,25,298.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"97","MTD3179",0.21426375,30,303.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"98","MTD3179",0.23491849,35,308.15,283.15,0.05628543,274.15,308.15,0.65,318.15,1.3,308.15
"99","MTD3182",0.13267843,1,274.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"100","MTD3182",0.07504718,5,278.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"101","MTD3182",0.19498122,10,283.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"102","MTD3182",0.2822029,15,288.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"103","MTD3182",0.2760751,20,293.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"104","MTD3182",0.12511629,25,298.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"105","MTD3182",0.23715053,30,303.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"106","MTD3182",0.14499447,35,308.15,283.15,0.19498122,274.15,308.15,0.65,308.15,1.3,288.15
"107","MTD3278",6.9,5,278.15,283.15,8.2,278.15,288.15,0.65,308.15,1.3,303.15
"108","MTD3278",8.2,10,283.15,283.15,8.2,278.15,288.15,0.65,308.15,1.3,303.15
"109","MTD3278",8.7,15,288.15,283.15,8.2,278.15,288.15,0.65,308.15,1.3,303.15
"110","MTD3278",13.3,20,293.15,283.15,8.2,278.15,288.15,0.65,308.15,1.3,303.15
"111","MTD3278",15.8,25,298.15,283.15,8.2,278.15,288.15,0.65,308.15,1.3,303.15
"112","MTD3278",18.5,30,303.15,283.15,8.2,278.15,288.15,0.65,308.15,1.3,303.15
"113","MTD3278",16.6,35,308.15,283.15,8.2,278.15,288.15,0.65,308.15,1.3,303.15
"114","MTD3280",5.7,5,278.15,283.15,9,278.15,308.15,0.65,308.15,1.3,303.15
"115","MTD3280",9,10,283.15,283.15,9,278.15,308.15,0.65,308.15,1.3,303.15
"116","MTD3280",15.7,15,288.15,283.15,9,278.15,308.15,0.65,308.15,1.3,303.15
"117","MTD3280",19.8,20,293.15,283.15,9,278.15,308.15,0.65,308.15,1.3,303.15
"118","MTD3280",21,25,298.15,283.15,9,278.15,308.15,0.65,308.15,1.3,303.15
"119","MTD3280",25.2,30,303.15,283.15,9,278.15,308.15,0.65,308.15,1.3,303.15
"120","MTD3280",15.2,35,308.15,283.15,9,278.15,308.15,0.65,308.15,1.3,303.15
"121","MTD3282",0.4,10,283.15,283.15,0.4,283.15,298.15,0.65,313.15,1.3,308.15
"122","MTD3282",0.8,15,288.15,283.15,0.4,283.15,298.15,0.65,313.15,1.3,308.15
"123","MTD3282",1.8,20,293.15,283.15,0.4,283.15,298.15,0.65,313.15,1.3,308.15
"124","MTD3282",2.9,25,298.15,283.15,0.4,283.15,298.15,0.65,313.15,1.3,308.15
"125","MTD3282",3.2,30,303.15,283.15,0.4,283.15,298.15,0.65,313.15,1.3,308.15
"126","MTD3282",5.8,35,308.15,283.15,0.4,283.15,298.15,0.65,313.15,1.3,308.15
"127","MTD3282",4,40,313.15,283.15,0.4,283.15,298.15,0.65,313.15,1.3,308.15
"128","MTD3329",1.4412805,1.9523375,275.1023375,281.255563,13.02059,275.1023375,304.979033,0.65,314.979033,1.3,304.979033
"129","MTD3329",13.02059,8.105563,281.255563,281.255563,13.02059,275.1023375,304.979033,0.65,314.979033,1.3,304.979033
"130","MTD3329",12.601592,13.7134075,286.8634075,281.255563,13.02059,275.1023375,304.979033,0.65,314.979033,1.3,304.979033
"131","MTD3329",12.422376,20.093737,293.243737,281.255563,13.02059,275.1023375,304.979033,0.65,314.979033,1.3,304.979033
"132","MTD3329",17.194584,25.972197,299.122197,281.255563,13.02059,275.1023375,304.979033,0.65,314.979033,1.3,304.979033
"133","MTD3329",33.58756,31.829033,304.979033,281.255563,13.02059,275.1023375,304.979033,0.65,314.979033,1.3,304.979033
"134","MTD3330",0.9943302,1.9511901,275.1011901,281.1347302,6.041407,275.1011901,305.032786,0.65,315.032786,1.3,305.032786
"135","MTD3330",6.041407,7.9847302,281.1347302,281.1347302,6.041407,275.1011901,305.032786,0.65,315.032786,1.3,305.032786
"136","MTD3330",6.344229,13.748801,286.898801,281.1347302,6.041407,275.1011901,305.032786,0.65,315.032786,1.3,305.032786
"137","MTD3330",7.230994,19.977493,293.127493,281.1347302,6.041407,275.1011901,305.032786,0.65,315.032786,1.3,305.032786
"138","MTD3330",9.046394,25.89982,299.04982,281.1347302,6.041407,275.1011901,305.032786,0.65,315.032786,1.3,305.032786
"139","MTD3330",14.437338,31.882786,305.032786,281.1347302,6.041407,275.1011901,305.032786,0.65,315.032786,1.3,305.032786
"150","MTD3368",0.05393155,12.063229,285.213229,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"151","MTD3368",0.06952202,14.965945,288.115945,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"152","MTD3368",0.043716177,18.024055,291.174055,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"153","MTD3368",0.40884885,20.963501,294.113501,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"154","MTD3368",0.66087705,23.90116,297.05116,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"155","MTD3368",1.077207,26.96625,300.11625,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"156","MTD3368",2.192835,29.979961,303.129961,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"157","MTD3368",0.8355947,35.950733,309.100733,285.213229,0.05393155,285.213229,300.11625,0.65,309.100733,1.3,303.129961
"158","MTD3369",0.14657855,12.002273,285.152273,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
"159","MTD3369",0.19280177,15.030311,288.180311,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
"160","MTD3369",0.15687415,17.994633,291.144633,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
"161","MTD3369",0.23399754,20.99195,294.14195,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
"162","MTD3369",0.40344703,24.11556,297.26556,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
